department_id,department_name,error_reason,employee_id,employee_name,hire_date,termination_date,gender,attendance_id,attendance_date,hours_worked
1.0,"Surveyor,",Duplicate Department,,,,,,,,
3.0,,Duplicate Employee,24.0,Lauren Lopez,2025-02-13,,,,,
20.0,,Duplicate Employee,24.0,Regina Blake,2016-06-24,2019-08-07,F,,,
12.0,,Duplicate Employee,24.0,Laurie Cox,2018-05-24,,M,,,
23.0,,Duplicate Employee,15.0,Katrina Hayes,2020-12-11,,F,,,
20.0,,Duplicate Employee,10.0,Denise Weeks,2018-06-19,,M,,,
10.0,,Duplicate Employee,47.0,Ashley Lester,2022-08-02,,F,,,
3.0,,Duplicate Employee,41.0,Patricia Hartman,2020-11-29,2025-04-19,,,,
16.0,,Duplicate Employee,23.0,Jeff Kelly,2022-01-26,,M,,,
7.0,,Duplicate Employee,13.0,Lisa Hamilton,2024-01-03,,F,,,
7.0,,Duplicate Employee,16.0,Erin Daniels,2020-11-29,,,,,
12.0,,Duplicate Employee,3.0,Brendan Sanchez,2018-08-09,,F,,,
21.0,,Duplicate Employee,27.0,Erica Davis,2022-05-02,,M,,,
8.0,,Duplicate Employee,4.0,Tonya Anderson,2016-12-10,,M,,,
22.0,,Duplicate Employee,33.0,Jerry Reed,2021-05-04,,F,,,
24.0,,Duplicate Employee,17.0,Joyce Williams,2024-05-23,,,,,
1.0,,Duplicate Employee,42.0,Stephanie Smith,2021-01-02,,F,,,
10.0,,Duplicate Employee,45.0,Matthew Mills,2020-11-30,,M,,,
15.0,,Duplicate Employee,30.0,Kevin Small,2017-12-04,,,,,
6.0,,Duplicate Employee,17.0,Christopher Peterson,2018-11-19,,,,,
13.0,,Duplicate Employee,43.0,Patrick Jenkins,2022-12-06,,F,,,
7.0,,Duplicate Employee,40.0,Steven Lester,2025-11-17,,F,,,
5.0,,Duplicate Employee,49.0,Glenn Turner,2018-03-14,,M,,,
20.0,,Duplicate Employee,33.0,Kimberly Johnson,2018-10-12,2020-12-03,M,,,
20.0,,Duplicate Employee,16.0,John Delgado,2024-03-01,,M,,,
4.0,,Duplicate Employee,41.0,Patrick Schultz,2024-01-20,,M,,,
8.0,,Duplicate Employee,1.0,Kevin Hernandez,2025-11-30,,F,,,
23.0,,Duplicate Employee,47.0,Mario Haas,2026-03-24,,F,,,
4.0,,Duplicate Employee,47.0,Robert Erickson,2021-07-09,,F,,,
10.0,,Duplicate Employee,12.0,David Howard,2020-10-29,,M,,,
5.0,,Duplicate Employee,47.0,David Stevens,2026-03-13,,,,,
4.0,,Duplicate Employee,39.0,Connie Williams,2024-04-20,,M,,,
21.0,,Duplicate Employee,29.0,Cindy Smith DDS,2017-07-11,,F,,,
14.0,,Duplicate Employee,19.0,Joshua Rodriguez,2019-05-01,,M,,,
18.0,,Duplicate Employee,43.0,Thomas Yu,2019-10-19,,M,,,
1.0,,Duplicate Employee,12.0,Michael Parker,2018-10-22,,M,,,
18.0,,Duplicate Employee,17.0,Sherri Lynn,2026-05-14,,M,,,
6.0,,Duplicate Employee,4.0,Stephanie Heath,2016-08-30,2020-09-24,,,,
25.0,,Duplicate Employee,1.0,Melissa Burch,2023-10-10,,,,,
13.0,,Duplicate Employee,44.0,John Moore,2023-02-27,,,,,
18.0,,Duplicate Employee,9.0,Samantha Anderson,2018-08-24,,,,,
18.0,,Duplicate Employee,21.0,Kayla Scott,2017-01-08,,,,,
17.0,,Duplicate Employee,31.0,Leah Nelson,2020-05-04,,F,,,
